task,taskName,scenario,scenarioName
http://www.semanticweb.org/hi_ontology#Idealism,Idealism,http://www.semanticweb.org/hi_ontology#EthicsPositionTheory,Ethics Position Theory
http://www.semanticweb.org/hi_ontology#InterventionFrequency,Intervention Frequency,http://www.semanticweb.org/hi_ontology#Intervention,Intervention
http://www.semanticweb.org/hi_ontology#LinearUpperConfidenceBound,Linear Upper Confidence Bound,http://www.semanticweb.org/hi_ontology#ReinforcementLearningDementiaCare,Reinforcement Learning for Personalized Interventions
http://www.semanticweb.org/hi_ontology#MDPFormulationTask,Markov Decision Process Formulation,http://www.semanticweb.org/hi_ontology#RLHumanInLoopScenario,Human-in-the-Loop Reinforcement Learning Scenario
http://www.semanticweb.org/hi_ontology#NavigationTask,Navigation Task,http://www.semanticweb.org/hi_ontology#TrustInterventionsScenario,Trust Interventions in Human-AI Collaboration
http://www.semanticweb.org/hi_ontology#OverReliance,Over-Reliance,http://www.semanticweb.org/hi_ontology#Reliances_Behavior,Reliance Behavior
http://www.semanticweb.org/hi_ontology#ParticleSwarmOptimization,ParticleSwarmOptimization,http://www.semanticweb.org/hi_ontology#TopographicActivationMaps,TopographicActivationMaps
http://www.semanticweb.org/hi_ontology#RLOptimizationTask,RL Signal Optimization,http://www.semanticweb.org/hi_ontology#DementiaCareScenario,Dementia Care Eating and Drinking Scenario
http://www.semanticweb.org/hi_ontology#RLProblemIdentificationTask,RL Problem Identification,http://www.semanticweb.org/hi_ontology#RLHumanInLoopScenario,Human-in-the-Loop Reinforcement Learning Scenario
http://www.semanticweb.org/hi_ontology#RandomSampling,RandomSampling,http://www.semanticweb.org/hi_ontology#ValueAwareActiveLearningScenario,Value-Aware Active Learning Scenario
http://www.semanticweb.org/hi_ontology#Relativism,Relativism,http://www.semanticweb.org/hi_ontology#EthicsPositionTheory,Ethics Position Theory
http://www.semanticweb.org/hi_ontology#SaliencyMaps,SaliencyMaps,http://www.semanticweb.org/hi_ontology#NeuralNetworkVisualizationScenario,Neural Network Activation Visualization Scenario
http://www.semanticweb.org/hi_ontology#SelfOrganizingMap,SelfOrganizingMap,http://www.semanticweb.org/hi_ontology#TopographicActivationMaps,TopographicActivationMaps
http://www.semanticweb.org/hi_ontology#Situationist,Situationist,http://www.semanticweb.org/hi_ontology#EthicsPositionTheory,Ethics Position Theory
http://www.semanticweb.org/hi_ontology#SoftwareExoskeleton,Software Exoskeleton,http://www.semanticweb.org/hi_ontology#ExosoulProject,Exosoul Project
http://www.semanticweb.org/hi_ontology#Subjectivist,Subjectivist,http://www.semanticweb.org/hi_ontology#EthicsPositionTheory,Ethics Position Theory
http://www.semanticweb.org/hi_ontology#ThresholdOrientedSampling,ThresholdOrientedSampling,http://www.semanticweb.org/hi_ontology#ValueAwareActiveLearningScenario,Value-Aware Active Learning Scenario
http://www.semanticweb.org/hi_ontology#TimelineReconstructionTask,Timeline Reconstruction,http://www.semanticweb.org/hi_ontology#DiaryConstructionScenario,Diary Construction Scenario
http://www.semanticweb.org/hi_ontology#TopographicActivationMaps,TopographicActivationMaps,http://www.semanticweb.org/hi_ontology#NeuralNetworkVisualizationScenario,Neural Network Activation Visualization Scenario
http://www.semanticweb.org/hi_ontology#TrainingProcessVisualization,TrainingProcessVisualization,http://www.semanticweb.org/hi_ontology#NeuralNetworkVisualizationScenario,Neural Network Activation Visualization Scenario
http://www.semanticweb.org/hi_ontology#UncertaintySampling,UncertaintySampling,http://www.semanticweb.org/hi_ontology#ValueAwareActiveLearningScenario,Value-Aware Active Learning Scenario
http://www.semanticweb.org/hi_ontology#UnderReliance,Under-Reliance,http://www.semanticweb.org/hi_ontology#Reliances_Behavior,Reliance Behavior
http://www.semanticweb.org/hi_ontology#ValueAwareActiveLearningTask,Value-Aware Active Learning,http://www.semanticweb.org/hi_ontology#ValueAwareActiveLearningScenario,Value-Aware Active Learning Scenario
http://www.semanticweb.org/hi_ontology#WellBeingMonitoringTask,Well-Being Monitoring,http://www.semanticweb.org/hi_ontology#DiaryConstructionScenario,Diary Construction Scenario
